DATE,UnemploymentRate,GDP,GDPgrowth
1/1/1991,6.19,8151479004,1.44
1/1/1992,6.27,8209129172,-0.8
1/1/1993,6.44,5751789915,0.35
1/1/1994,6.54,7148145376,2.63
1/1/1995,6.6,9046326060,4.41
1/1/1996,6.64,12045858436,4.15
1/1/1997,6.62,13115773738,0.48
1/1/1998,6.64,14093998844,3.29
1/1/1999,6.72,12896013577,2.31
1/1/2000,6.74,12705357103,0.6
1/1/2001,6.8,12986007426,3.78
1/1/2002,6.93,13147743911,0.55
1/1/2003,7.01,14904517650,2.93
1/1/2004,7.07,16095337094,5.1
1/1/2005,7.11,18737897745,5.91
1/1/2006,6.97,25825524821,6.47
1/1/2007,6.87,31958195182,6.85
1/1/2008,6.8,35895153328,0.23
1/1/2009,7.19,37021512049,3.3
1/1/2010,7.36,40000088347,8.41
1/1/2011,7.41,41953433591,6.11
1/1/2012,7.45,50412754861,4.56
1/1/2013,7.5,55096728048,5.88
1/1/2014,7.45,61448046802,5.36
1/1/2015,7.4,64007750169,5.72
1/1/2016,7.33,69188755364,5.88
1/1/2017,7.25,78965004656,4.81
1/1/2018,7.19,87778582964,6.32
1/1/2019,7.17,95503088538,5.37
